"id","time","cpu_sec_idle","disk_av_per","disk_read","disk_write","net_receive","mem_pressure","mem_av_per","forks_total","intr","load1","load5","load15","receive_drop","receive_errs","transmit_packets","tcp_sock_alloc","tcp_sock_inuse","tcp_sock_mem","udp_sock_inuse","udp_sock_mem","ipv4_sock_inuse","est_conn","lis_conn","open_fds","attack"
798,"2023-09-03 09:46:37","381699.04","70.7523","1275192320","35570447360","1844519","10188","73.6952","11042080","572278826","0.72","0.98","0.94",0,0,12875,171,0,21,0,10,8,2,1,9,0
799,"2023-09-03 09:46:42","381702.59","70.7523","1275192320","35570758656","1846993","10188","73.7521","11042518","572291346","0.66","0.96","0.93",0,0,12890,165,0,18,0,10,7,2,1,9,0
800,"2023-09-03 09:46:46","381706.405","70.7523","1275192320","35571135488","1849467","10188","73.6298","11043018","572300243","0.61","0.95","0.93",0,0,12905,166,0,13,0,10,8,2,1,9,0
801,"2023-09-03 09:46:51","381710.1775","70.7523","1275192320","35571340288","1851613","10188","73.7012","11043420","572308795","0.64","0.95","0.93",0,0,12920,170,0,20,0,10,7,2,1,9,0
802,"2023-09-03 09:46:55","381714.045","70.7523","1275192320","35571684352","1854087","10188","73.7138","11043819","572318928","0.59","0.93","0.92",0,0,12937,166,0,15,0,11,5,2,1,9,0
803,"2023-09-03 09:47:00","381718.0775","70.7523","1275192320","35572016128","1856191","10188","73.7559","11044216","572328210","0.54","0.92","0.92",0,0,12953,163,0,16,0,10,6,2,1,9,0
804,"2023-09-03 09:47:05","381722.1","70.7523","1275192320","35572306944","1858665","10188","73.7536","11044614","572339363","0.54","0.92","0.92",0,0,12967,166,0,17,0,11,6,2,1,9,0
805,"2023-09-03 09:47:09","381725.78","70.7523","1275192320","35572507648","1860769","10188","73.7668","11045000","572349464","0.5","0.9","0.91",0,0,12981,164,0,14,0,11,7,2,1,9,0
806,"2023-09-03 09:47:14","381729.485","70.7523","1275192320","35572790272","1862873","10188","73.7191","11045524","572360737","0.54","0.9","0.91",0,0,12997,165,0,19,0,11,8,2,1,9,0
807,"2023-09-03 09:47:18","381733.4225","70.7523","1275192320","35573171200","1864977","10188","73.7215","11045895","572369569","0.49","0.89","0.91",0,0,13013,167,0,23,0,11,7,2,1,9,0
808,"2023-09-03 09:47:23","381737.195","70.7523","1275192320","35573482496","1867081","10188","73.7495","11046336","572380370","0.69","0.92","0.92",0,0,13029,163,0,10,0,11,6,2,1,9,0
809,"2023-09-03 09:47:28","381741.195","70.7523","1275192320","35573830656","1869227","10188","73.7601","11046702","572390036","1.12","1.01","0.95",0,0,13046,164,0,12,0,11,6,2,1,9,0
